mi,time,group,srcfile
1.98694691856473,246.519999999921,1,1
2.5914667524782,282.889999999888,1,1
2.18228094941621,311.949999999861,1,1
1.64481128253754,312.229999999861,1,1
1.75796014880088,339.069999999837,1,1
1.60355088047809,350.359999999826,1,1
1.5883857483466,373.269999999806,1,1
1.6994449954245,394.079999999787,1,1
1.68330269316167,416.799999999766,1,1
1.38403044369107,422.079999999761,1,1
1.54750038089713,451.939999999734,1,1
1.16859287150352,452.339999999734,1,1
1.34334295411439,484.019999999705,1,1
1.32522582332198,499.90999999969,1,1
1.40202849195033,526.159999999667,1,1
1.1693157730994,555.22999999964,1,1
0.887526282130189,555.909999999639,1,1
1.1398573854547,592.909999999606,1,1
2.00428924517131,199.839999999963,1,2
1.62801243659787,204.439999999959,1,2
1.66792650778,229.139999999937,1,2
1.3713660559356,234.489999999932,1,2
1.56175959779229,265.489999999904,1,2
1.20693324515106,267.209999999902,1,2
1.47676894366688,301.499999999871,1,2
1.29065386659118,332.429999999843,1,2
1.05108829371028,336.979999999839,1,2
1.26460156856307,369.589999999809,1,2
2.13407045480072,414.059999999768,1,2
2.11572953881698,435.779999999749,1,2
1.98175279635254,448.219999999737,1,2
1.62844833774532,449.729999999736,1,2
1.29498930272698,463.259999999724,1,2
1.06379640997381,464.749999999722,1,2
0.845107683999376,478.29999999971,1,2
0.684714892716177,479.019999999709,1,2
0.789740926682963,497.529999999693,1,2
0.846660916634669,518.299999999674,1,2
0.683300225994653,518.809999999673,1,2
0.91954083783918,562.159999999634,1,2
1.12193422154813,594.429999999604,1,2
1.4847334306266,180.109999999981,1,3
1.60931896880558,200.409999999963,1,3
1.30655640969758,201.229999999962,1,3
1.62888496086247,223.999999999941,1,3
1.50415256608361,236.00999999993,1,3
1.53518606409734,260.819999999908,1,3
1.28751770544857,291.28999999988,1,3
1.05038008759497,296.179999999876,1,3
1.38394088309059,335.16999999984,1,3
1.13391205186257,340.139999999836,1,3
1.23469609778601,367.039999999811,1,3
0.938907538556176,367.79999999981,1,3
1.0134129929626,394.309999999786,1,3
1.02655173861593,410.939999999771,1,3
1.17687641806865,440.619999999744,1,3
0.792138447545744,456.989999999729,1,3
0.875122956983587,478.35999999971,1,3
0.806625984207314,486.249999999703,1,3
1.07796375404714,512.949999999679,1,3
0.902643644356879,519.269999999673,1,3
0.805269774931777,535.849999999658,1,3
0.692411748855577,543.649999999651,1,3
0.736699759155361,570.279999999626,1,3
0.618151618201008,576.579999999621,1,3
1.73752175666428,189.659999999972,1,4
1.36304675728784,192.14999999997,1,4
1.40554574523774,216.019999999949,1,4
1.17057209659325,244.269999999923,1,4
1.01780891481793,274.679999999895,1,4
0.886917284789354,282.889999999888,1,4
1.02908087764595,327.889999999847,1,4
1.13217708049971,354.199999999823,1,4
1.06184420814958,366.189999999812,1,4
1.10246089808074,390.08999999979,1,4
0.893627660334972,394.339999999786,1,4
1.11621746370264,429.029999999755,1,4
0.968303858335895,437.049999999748,1,4
0.853149612302618,452.029999999734,1,4
0.663811164321,453.989999999732,1,4
0.922184354481306,493.549999999696,1,4
0.727593823147703,496.239999999694,1,4
0.782970151959548,521.269999999671,1,4
0.996918603241561,549.419999999645,1,4
1.12362660213613,576.519999999621,1,4
0.903425712144679,579.999999999618,1,4
1.83463635122977,192.979999999969,1,5
1.46014928112848,196.439999999966,1,5
2.31457346199192,261.379999999907,1,5
2.56445356186518,289.479999999882,1,5
1.93048962955184,289.689999999882,1,5
2.03997538664998,315.879999999858,1,5
1.72957151919687,322.969999999851,1,5
1.92963667809699,352.659999999824,1,5
1.26965871817456,368.53999999981,1,5
1.22025632417772,382.719999999797,1,5
1.14286300911957,391.809999999789,1,5
1.53845756794359,419.729999999763,1,5
1.45480429463626,455.95999999973,1,5
1.6240799035963,477.98999999971,1,5
1.74130101784995,503.809999999687,1,5
1.68207425022439,517.819999999674,1,5
1.17392624505823,520.369999999672,1,5
1.10716511412152,533.08999999966,1,5
0.920814442353933,535.269999999658,1,5
0.844935123476804,540.689999999653,1,5
0.64720751002013,554.549999999641,1,5
0.82738727412117,579.379999999618,1,5
1.53906879324691,182.279999999979,1,6
1.24316844522882,186.349999999975,1,6
1.45944087117352,217.989999999947,1,6
1.38254046263265,253.509999999914,1,6
1.11901149402412,279.96999999989,1,6
0.988637098204107,289.019999999882,1,6
1.33720241948339,343.049999999833,1,6
1.44466086351122,368.18999999981,1,6
1.23878040523525,375.319999999804,1,6
1.11151886685541,391.189999999789,1,6
0.92617159788502,418.749999999764,1,6
0.740595296356267,422.239999999761,1,6
1.02558802990608,461.869999999725,1,6
0.79468730451977,463.609999999723,1,6
1.33398858044776,512.179999999679,1,6
1.23548873851915,544.33999999965,1,6
0.929051081100271,544.47999999965,1,6
1.08048837213282,574.079999999623,1,6
0.973696866901902,583.999999999614,1,6
1.66124911596462,182.979999999979,1,7
1.24780062173858,183.059999999978,1,7
1.68456529665701,236.55999999993,1,7
1.61678711550382,256.379999999912,1,7
1.304445138153,260.389999999908,1,7
1.32922804451483,284.099999999887,1,7
1.15043607972905,292.249999999879,1,7
1.48441705848731,330.229999999845,1,7
1.15306840343416,332.249999999843,1,7
1.11508134379821,353.369999999824,1,7
0.911149768727631,381.269999999798,1,7
0.695758000321999,382.289999999797,1,7
0.782711718772378,411.77999999977,1,7
0.905791313022882,436.339999999748,1,7
1.54375358858205,504.339999999686,1,7
1.67773445913137,530.419999999663,1,7
1.29380242141665,531.929999999661,1,7
1.41317388963528,558.889999999637,1,7
1.10476190462199,561.179999999635,1,7
1.09443198707287,582.979999999615,1,7
0.924450263799256,189.459999999973,1,8
0.726119444950996,191.99999999997,1,8
0.857995586127135,223.059999999942,1,8
1.42943846865783,265.549999999903,1,8
1.60938561604912,293.539999999878,1,8
1.36214014330751,322.499999999852,1,8
1.10205149064742,326.749999999848,1,8
1.24143097976016,355.939999999821,1,8
1.14050666584624,389.579999999791,1,8
0.890378844483611,391.819999999789,1,8
1.13037262924538,427.389999999756,1,8
1.02304234720488,437.719999999747,1,8
1.19222236262827,467.83999999972,1,8
1.12651127750459,480.409999999708,1,8
