dc,group,srcfile
46.0599999999581,9,57
29.2499999999734,9,57
44.3399999999597,9,57
28.7799999999738,9,57
26.429999999976,9,57
18.3399999999833,9,58
66.0899999999399,9,58
26.339999999976,9,58
44.7299999999593,9,58
30.2899999999725,9,58
31.4399999999714,9,58
35.6099999999676,9,58
37.9499999999655,9,58
36.0099999999673,9,58
45.2099999999589,9,58
42.2999999999615,9,59
36.5799999999668,9,59
38.9799999999645,9,59
36.5399999999668,9,59
19.8499999999819,9,59
36.8099999999665,9,59
38.7399999999648,9,59
35.8399999999674,9,59
38.9699999999646,9,59
39.2999999999643,9,59
38.8699999999646,9,59
26.5199999999759,9,60
33.3799999999697,9,60
26.4499999999759,9,60
56.079999999949,9,60
29.1899999999735,9,60
45.0199999999591,9,60
32.8999999999701,9,60
27.4299999999751,9,60
34.2599999999689,9,60
33.1699999999698,9,60
46.259999999958,11,61
30.0899999999726,11,61
72.8899999999337,11,61
64.1999999999416,11,61
51.7999999999529,11,61
20.7199999999812,11,61
50.689999999954,11,61
16.529999999985,11,61
79.8599999999274,10,63
61.3999999999442,10,63
21.0399999999809,10,63
38.2599999999652,10,63
59.1199999999462,10,63
85.9999999999218,10,63
12.7299999999884,10,63
11.0699999999899,10,63
13.0899999999881,10,63
65.0199999999409,10,64
45.1699999999589,10,64
58.3299999999469,10,64
78.3599999999287,10,64
49.8999999999546,10,64
16.7499999999848,10,64
65.3399999999406,10,64
47.1599999999571,10,65
72.4899999999341,10,65
88.7299999999193,10,65
39.9099999999637,10,65
11.4199999999896,10,65
16.6999999999848,10,65
97.5799999999113,10,65
36.4499999999668,12,66
36.1499999999672,12,66
32.4899999999705,12,66
57.219999999948,12,66
50.2799999999543,12,66
63.9699999999418,12,66
17.2899999999843,12,66
24.7399999999775,12,66
33.7499999999694,12,66
27.9099999999746,12,66
39.529999999964,10,67
76.2699999999307,10,67
33.02999999997,10,67
87.7999999999201,10,67
34.8799999999683,10,67
55.5199999999496,10,67
67.8699999999383,10,67
31.0499999999718,11,68
87.2199999999207,11,68
25.9899999999764,11,68
29.669999999973,11,68
28.6999999999739,11,68
86.5799999999213,11,68
11.6999999999894,11,68
64.2399999999416,11,68
12.0199999999891,11,68
13.8699999999874,11,68
46.4499999999578,11,69
83.2599999999243,11,69
42.929999999961,11,69
25.3799999999769,11,69
27.2599999999752,11,69
18.4599999999832,11,69
36.5899999999667,11,69
23.1699999999789,11,69
40.4599999999633,11,69
36.299999999967,11,69
46.4499999999578,11,70
83.2599999999243,11,70
42.929999999961,11,70
25.3799999999769,11,70
27.2599999999752,11,70
18.4599999999832,11,70
36.5899999999667,11,70
23.1699999999789,11,70
40.4599999999633,11,70
36.299999999967,11,70
