dc,group,srcfile
74.849999999932,1,1
36.3699999999669,1,1
29.0599999999736,1,1
38.4099999999651,1,1
43.7199999999602,1,1
27.9999999999745,1,1
30.2599999999725,1,1
47.5699999999568,1,1
26.2499999999761,1,1
36.6599999999667,1,2
24.6999999999776,1,2
38.0699999999654,1,2
34.2899999999688,1,2
35.4799999999677,1,2
77.0799999999299,1,2
21.7199999999802,1,2
15.389999999986,1,2
39.1899999999644,1,2
37.2399999999661,1,2
38.6299999999649,1,3
35.5999999999677,1,3
24.8099999999774,1,3
35.3599999999678,1,3
43.95999999996,1,3
30.9299999999719,1,3
39.8699999999637,1,3
36.8599999999665,1,3
38.4499999999651,1,3
36.4199999999669,1,3
36.8899999999664,1,4
23.8699999999783,1,4
30.3899999999724,1,4
36.9299999999664,1,4
44.5499999999595,1,4
38.2999999999652,1,4
33.4999999999695,1,4
36.6799999999666,1,4
38.3399999999652,1,4
35.4199999999678,1,4
36.0799999999672,1,4
27.1099999999753,1,5
68.3999999999378,1,5
28.0999999999744,1,5
33.4899999999695,1,5
29.689999999973,1,5
30.0599999999727,1,5
37.0099999999663,1,5
58.2599999999471,1,5
25.8199999999765,1,5
21.5499999999804,1,5
19.3799999999824,1,6
35.7099999999676,1,6
35.5199999999677,1,6
32.5799999999704,1,6
56.9599999999482,1,6
25.1399999999771,1,6
30.0799999999726,1,6
37.8599999999656,1,6
36.2499999999671,1,6
39.7999999999638,1,6
32.8799999999701,1,6
38.3399999999651,1,7
53.5799999999513,1,7
19.819999999982,1,7
35.8699999999674,1,7
37.9799999999655,1,7
34.1499999999689,1,7
37.0599999999663,1,7
37.1199999999662,1,7
65.7799999999402,1,7
26.0799999999763,1,7
38.3999999999651,1,8
58.0999999999472,1,8
27.9899999999745,1,8
28.9599999999737,1,8
38.0399999999654,1,8
35.3499999999678,1,8
41.829999999962,1,8
42.6899999999612,1,8
43.2499999999607,1,8
29.4399999999732,1,8
39.6699999999639,1,9
47.0499999999572,1,9
32.8199999999702,1,9
35.0999999999681,1,9
43.8099999999602,1,9
30.8999999999719,1,9
39.0499999999645,1,9
38.4299999999651,1,9
38.1299999999653,1,9
35.7199999999675,1,9
28.9799999999736,1,10
38.549999999965,1,10
45.4899999999586,1,10
49.9899999999545,1,10
35.159999999968,1,10
29.0999999999735,1,10
25.9799999999764,1,10
55.2799999999497,1,10
37.1899999999662,1,10
29.4299999999732,1,10
33.7099999999693,1,10
39.2699999999643,3,12
257.789999999766,3,12
164.099999999851,2,13
63.8699999999419,2,13
11.7699999999893,2,13
11.9299999999891,2,13
11.4799999999896,2,13
