Ld,group,srcfile
4.11283747566507,1,1
8.29829991300755,1,1
7.94017999515933,1,1
6.59421126406008,1,1
6.37632756547602,1,1
6.81854646095245,1,1
5.52626503466647,1,1
4.64869531950785,1,1
5.35258029166411,1,1
4.25406194150802,1,1
6.9023683882087,1,2
6.50823507237556,1,2
4.99344664607213,1,2
4.90174673865234,1,2
4.56511655665445,1,2
4.33024523190001,1,2
8.79271881844901,1,2
6.46591368330682,1,2
4.23994848848033,1,2
4.17227884981959,1,2
4.07211738832659,1,2
6.59762810219016,1,3
6.49322205422582,1,3
5.9477826862407,1,3
4.5543819242957,1,3
4.22636624854372,1,3
4.6985130026,1,3
4.11593357683738,1,3
4.25619839958119,1,3
4.1469191434322,1,3
4.08067587232695,1,3
3.86756766858241,1,3
5.76811110469945,1,4
5.64265075796951,1,4
4.34101849225022,1,4
3.78557583750001,1,4
3.77328274906049,1,4
4.384218598706,1,4
4.432656437614,1,4
4.065408009522,1,4
4.02550829829361,1,4
4.14471277747241,1,4
4.04120937064487,1,4
4.0937457083915,1,4
6.86771775446214,1,5
5.52488476592009,1,5
9.48884624134242,1,5
7.74392527915657,1,5
6.91365751504566,1,5
5.79918680520367,1,5
4.85905920986964,1,5
4.66710382574149,1,5
6.74899326416947,1,5
5.35836560561018,1,5
3.90440900240239,1,5
6.69888186925365,1,6
4.72708612480087,1,6
4.4955796568141,1,6
4.29054051782251,1,6
3.8808930917501,1,6
5.7250813275805,1,6
4.57235157852181,1,6
3.98008617419303,1,6
4.03167437021124,1,6
4.01744642417614,1,6
4.29461628269658,1,6
3.97236066685329,1,6
5.14087045916303,1,7
5.25031172805355,1,7
6.9789614677149,1,7
4.9493589592473,1,7
4.61227361373665,1,7
4.49961135315012,1,7
4.12135989777172,1,7
3.9711226331969,1,7
3.84103335173572,1,7
6.49629111754018,1,7
5.22572021986561,1,7
3.97589044911871,1,8
4.06904746440086,1,8
6.01562589867091,1,8
4.9777539631644,1,8
4.19150992854032,1,8
4.17008252905879,1,8
3.95624498458787,1,8
4.28813286784213,1,8
4.6666081732695,1,8
5.11557787738876,1,8
4.31945532226762,1,8
3.90984407470203,1,9
3.99319228201886,1,9
4.6849386057743,1,9
4.25899918576186,1,9
4.04123400170906,1,9
4.57003165034597,1,9
4.04005835607551,1,9
4.12051344232299,1,9
4.17210740159811,1,9
4.18982554464502,1,9
4.04691513072163,1,9
5.502019637648,1,10
4.67787581268461,1,10
4.74958145930414,1,10
5.5230754655305,1,10
